N,P,K,temperature,humidity,ph,rainfall,label
98,36,40,25.45454249,84.36585416,7.82868811,272.4377983,rice
84,49,40,24.90216877,84.91936393,6.872890575,216.540944,rice
70,47,37,26.58037626,82.0963216,6.741891685,230.4282406,rice
96,37,36,24.4346238,84.45229696,6.958958941,258.5555297,rice
89,47,42,25.27690009,82.67943431,7.435093421,195.6574323,rice
90,45,38,23.37892454,84.3263665,7.72845229,252.6638894,rice
90,56,38,26.73817728,82.28522881,6.087532887,288.8754528,rice
65,50,45,26.6860306,81.61796725,6.315591793,191.8367815,rice
84,49,35,26.64950195,82.664857,6.407887484,298.8972197,rice
65,51,41,23.99796058,83.39413066,7.067486709,266.7579122,rice
85,39,42,24.80796117,84.79879581,7.998881606,197.6713591,rice
97,35,44,24.28965612,84.62921241,7.514210234,258.3521843,rice
67,56,40,23.60592232,84.64016145,7.869248141,288.7513387,rice
99,57,35,22.63656322,82.38253128,7.721414118,259.0951596,rice
92,48,39,26.3229641,81.83387878,6.73154698,232.0382345,rice
98,56,43,21.91778946,81.17544267,7.220406051,271.3362811,rice
64,41,41,26.00479662,82.7543696,7.161765369,191.2149387,rice
92,57,42,24.72517871,84.36970641,6.18486026,289.86926,rice
62,46,38,25.98635062,83.75111107,6.496779927,217.6277468,rice
83,55,45,21.69812331,84.74426434,7.060285294,248.0857085,rice
84,50,36,26.44855212,84.56577365,7.854894597,273.5733088,rice
70,38,45,26.34026459,82.08297212,7.49391673,244.4329477,rice
77,56,40,23.70987093,81.57502315,7.804978962,276.9205175,rice
77,41,38,22.68138975,82.07909504,6.427983667,247.8298666,rice
80,47,37,23.71279175,83.51323317,6.573388349,208.90922,rice
95,42,36,26.22462766,81.97660322,6.755765295,195.0547961,rice
84,60,35,25.78895441,81.14981032,7.704768409,242.7146978,rice
86,38,37,24.89646702,82.30632484,6.742170313,268.9324766,rice
82,36,37,24.04180748,84.76180602,7.494511953,210.3811129,rice
99,47,36,22.26669876,82.51403891,7.418348523,187.2744563,rice
73,56,35,24.41235157,83.20232699,7.493880927,185.0919542,rice
69,60,42,25.37542982,82.61210293,6.833754641,258.3570007,rice
80,46,43,26.41967744,82.47077367,6.104626206,220.4895564,rice
65,44,43,21.41291311,83.01048374,7.430693421,255.9630491,rice
80,59,37,22.74079826,81.66983705,7.188511762,193.0213925,rice
63,36,36,24.13579355,84.8218501,7.731292921,238.6040853,rice
78,45,39,24.10841365,84.69726049,7.608240511,273.0934044,rice
98,47,36,24.12615123,82.75506197,6.029604147,262.7612248,rice
79,43,40,25.29048092,81.45105257,6.197886628,218.3843557,rice
61,59,39,23.00401537,81.40964696,6.395905326,217.994817,rice
89,53,39,21.44163337,83.66996533,7.064703478,219.3279691,rice
79,40,39,22.44825679,81.66951799,7.110155176,237.9786373,rice
89,56,38,22.98594078,81.64376719,6.349245761,274.7185041,rice
81,55,36,23.81654649,83.6593675,6.785704771,268.0181189,rice
94,40,40,25.60223578,84.12164217,7.314118612,236.2930804,rice
80,53,38,23.64641863,83.72995591,7.413144336,235.5072586,rice
82,46,40,24.54065974,83.3638972,7.042112525,218.9721805,rice
68,45,44,24.09339407,83.13239114,6.542381245,276.0783656,rice
61,56,42,25.48498126,84.98664862,7.821694153,190.6637665,rice
63,46,38,24.27622886,81.35668842,7.833641018,254.6440354,rice
95,59,43,25.10826564,84.29462464,6.897675073,210.5245737,rice
69,37,36,22.05569858,81.84535122,7.038000918,212.3551157,rice
80,56,41,23.72452347,82.54640044,7.415471212,199.8788564,rice
61,53,36,26.09511817,83.04066666,6.051599921,266.3036484,rice
70,46,38,22.62971155,81.38709791,7.456672323,233.7915409,rice
97,58,37,21.19173642,84.323711,7.357641458,219.3483812,rice
74,57,36,22.73244198,82.81288126,7.182761451,288.6560248,rice
76,40,36,26.52020448,84.11572237,7.042628883,212.3326312,rice
86,56,41,26.60236789,82.66690919,7.640259479,186.9469721,rice
71,38,40,23.01753378,84.0733373,7.967248537,187.6277483,rice
68,60,40,22.98036423,82.50763638,6.245830748,221.4559635,rice
75,38,43,24.54983918,82.3445847,6.584581074,263.3493787,rice
82,43,42,24.9449481,82.10020697,7.818050517,253.7127279,rice
86,39,43,23.69401982,82.44204718,7.029781644,282.6031611,rice
97,36,39,26.93959464,81.07995715,7.05654799,206.2589457,rice
